epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.402,2.2436,4.47793,2.46871,0.74107,0.62065,0.69479,0.52789,1.83111,2.83681,2.445,0.00332268,0.00332268,0.00332268
2,355.728,2.45473,3.10515,2.59188,0.77361,0.5927,0.68051,0.47738,2.24031,2.63819,2.85911,0.00662307,0.00662307,0.00662307
3,532.236,2.6829,3.04509,2.76788,0.43448,0.37782,0.34364,0.16139,3.15647,7.18094,3.68029,0.00989046,0.00989046,0.00989046
4,708.385,2.83691,3.10336,2.90187,0.73301,0.50261,0.58669,0.38306,2.66835,3.35454,3.27194,0.0098515,0.0098515,0.0098515
5,884.328,2.75125,2.93792,2.83559,0.70606,0.61067,0.6671,0.45902,2.29507,2.50991,2.86525,0.009802,0.009802,0.009802
6,1060.25,2.66639,2.75772,2.79467,0.78647,0.62169,0.71997,0.52426,2.15008,2.41934,2.74627,0.0097525,0.0097525,0.0097525
7,1236.47,2.62077,2.66708,2.7498,0.81277,0.63826,0.73654,0.53783,2.17877,2.12573,2.73237,0.009703,0.009703,0.009703
8,1412.79,2.59787,2.61026,2.72879,0.79086,0.65089,0.7454,0.55381,2.06153,2.02289,2.61958,0.0096535,0.0096535,0.0096535
9,1589.03,2.54343,2.53304,2.70466,0.7816,0.64964,0.7463,0.56125,1.98192,1.99995,2.60142,0.009604,0.009604,0.009604
10,1765.41,2.52171,2.4997,2.68327,0.7986,0.67727,0.76485,0.57513,1.96295,1.87031,2.56288,0.0095545,0.0095545,0.0095545
11,1942,2.49538,2.44249,2.66778,0.78968,0.6732,0.76454,0.57368,1.96283,1.95705,2.59774,0.009505,0.009505,0.009505
12,2118.54,2.48891,2.43171,2.65534,0.80242,0.68071,0.7741,0.58452,1.95165,1.93016,2.54946,0.0094555,0.0094555,0.0094555
13,2294.87,2.45819,2.36592,2.63488,0.7885,0.68154,0.76678,0.58428,1.94909,1.92577,2.52936,0.009406,0.009406,0.009406
14,2471.05,2.42625,2.35701,2.62385,0.77431,0.6878,0.76968,0.58601,1.89991,1.90126,2.55613,0.0093565,0.0093565,0.0093565
15,2647.37,2.43321,2.34675,2.62278,0.80331,0.68342,0.78054,0.59371,1.86731,1.80433,2.52594,0.009307,0.009307,0.009307
16,2823.22,2.38471,2.29559,2.60452,0.81457,0.68738,0.78783,0.61116,1.84539,1.74965,2.4591,0.0092575,0.0092575,0.0092575
17,2999.54,2.38031,2.28804,2.59893,0.81769,0.67814,0.78579,0.60254,1.86023,1.79361,2.48777,0.009208,0.009208,0.009208
18,3176.27,2.37337,2.2637,2.57831,0.81005,0.70282,0.78955,0.61299,1.83218,1.75471,2.44343,0.0091585,0.0091585,0.0091585
19,3352.58,2.36596,2.23222,2.57969,0.77495,0.69085,0.77504,0.59764,1.85192,1.81103,2.45655,0.009109,0.009109,0.009109
20,3528.74,2.36341,2.21655,2.56869,0.7907,0.70988,0.78718,0.6077,1.84668,1.80794,2.45051,0.0090595,0.0090595,0.0090595
21,3704.72,2.34619,2.182,2.5627,0.80617,0.7017,0.79433,0.62437,1.77838,1.69722,2.42779,0.00901,0.00901,0.00901
