epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3359,1.11554,2.65755,1.27587,0.41328,0.2005,0.29443,0.15114,1.39355,3.10616,1.92316,0.000656085,0.000656085,0.000656085
2,44.385,1.27493,2.18929,1.37051,0.30446,0.32673,0.27729,0.11782,1.61731,4.44155,2.18147,0.0013162,0.0013162,0.0013162
3,66.496,1.31808,1.91914,1.40834,0.10895,0.26733,0.076,0.02611,2.19316,6.25855,2.60145,0.00196972,0.00196972,0.00196972
4,88.4392,1.37921,1.85196,1.44809,0.17573,0.26485,0.15819,0.06848,2.15548,3.1929,2.55254,0.0019703,0.0019703,0.0019703
5,110.398,1.34807,1.7205,1.40742,0.57028,0.52228,0.5462,0.34321,1.25071,2.27575,1.66529,0.0019604,0.0019604,0.0019604
6,132.461,1.29177,1.60687,1.39934,0.7147,0.67327,0.69802,0.44618,1.23688,1.35961,1.70062,0.0019505,0.0019505,0.0019505
7,154.486,1.26392,1.58394,1.3687,0.72455,0.54691,0.63976,0.44356,1.17055,1.39077,1.58766,0.0019406,0.0019406,0.0019406
8,176.375,1.2372,1.5106,1.36054,0.68973,0.6438,0.69878,0.49802,1.08168,1.31684,1.49276,0.0019307,0.0019307,0.0019307
9,198.437,1.20024,1.44313,1.32354,0.74847,0.66337,0.74413,0.52429,1.09672,1.31358,1.50632,0.0019208,0.0019208,0.0019208
10,220.384,1.15751,1.39552,1.30072,0.60326,0.59653,0.60144,0.42154,1.20196,1.4505,1.58538,0.0019109,0.0019109,0.0019109
11,242.305,1.1554,1.39913,1.29268,0.67468,0.69059,0.73701,0.54601,0.95083,1.49866,1.41433,0.001901,0.001901,0.001901
12,264.327,1.11501,1.30065,1.25792,0.72273,0.7203,0.76011,0.53983,1.05381,1.11827,1.4564,0.0018911,0.0018911,0.0018911
13,286.261,1.10455,1.27907,1.25927,0.79608,0.72474,0.82595,0.64074,0.91339,0.96267,1.34006,0.0018812,0.0018812,0.0018812
14,308.254,1.05063,1.21771,1.24862,0.78605,0.77298,0.81487,0.58928,1.027,1.01512,1.47085,0.0018713,0.0018713,0.0018713
15,330.178,1.07726,1.18983,1.24448,0.8014,0.76485,0.8119,0.64443,0.82588,0.99321,1.27588,0.0018614,0.0018614,0.0018614
16,352.214,1.02398,1.17457,1.22101,0.81999,0.77803,0.84195,0.65208,0.83585,1.03439,1.30605,0.0018515,0.0018515,0.0018515
17,374.178,1.04971,1.21282,1.23492,0.76429,0.78713,0.84399,0.65609,0.86285,0.89702,1.30712,0.0018416,0.0018416,0.0018416
18,396.267,1.01444,1.15739,1.20637,0.82656,0.76676,0.84309,0.6814,0.77479,0.91743,1.23835,0.0018317,0.0018317,0.0018317
