epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5787,1.06977,1.72291,1.25176,0.80633,0.68699,0.76356,0.57609,0.88747,1.24033,1.26352,0.0033156,0.0033156,0.0033156
2,134.53,1.10343,1.28541,1.27859,0.79544,0.65545,0.73815,0.54174,0.9543,1.13445,1.33665,0.00661602,0.00661602,0.00661602
3,200.72,1.1922,1.28306,1.33633,0.74932,0.57828,0.65405,0.42413,1.2365,1.56058,1.67188,0.00988345,0.00988345,0.00988345
4,267.263,1.28528,1.3336,1.41751,0.63914,0.49191,0.54113,0.32499,1.45173,1.64766,1.74185,0.0098515,0.0098515,0.0098515
5,333.524,1.26671,1.28598,1.40885,0.78162,0.63005,0.72018,0.51148,1.09275,1.11259,1.45995,0.009802,0.009802,0.009802
6,400.12,1.23131,1.23002,1.38068,0.76829,0.66999,0.72806,0.51419,1.04574,1.24373,1.41658,0.0097525,0.0097525,0.0097525
7,466.277,1.21604,1.1954,1.37739,0.79785,0.65754,0.74664,0.53943,1.05237,1.007,1.4339,0.009703,0.009703,0.009703
8,532.506,1.2015,1.17447,1.36471,0.81173,0.64551,0.72809,0.5237,1.05615,1.02444,1.41688,0.0096535,0.0096535,0.0096535
9,598.619,1.17665,1.1451,1.35101,0.83077,0.64829,0.76372,0.54873,1.03971,0.97201,1.39399,0.009604,0.009604,0.009604
10,664.758,1.16389,1.11825,1.34184,0.80961,0.65683,0.75085,0.54286,1.04297,0.972,1.3987,0.0095545,0.0095545,0.0095545
11,731.194,1.15779,1.1055,1.33474,0.80772,0.66477,0.75798,0.55533,0.98781,0.95577,1.35981,0.009505,0.009505,0.009505
12,797.558,1.14685,1.09139,1.32853,0.83276,0.66252,0.75868,0.56573,1.00407,0.96301,1.34708,0.0094555,0.0094555,0.0094555
13,863.891,1.12542,1.07023,1.31354,0.80924,0.66377,0.76707,0.57025,0.95478,0.9121,1.33234,0.009406,0.009406,0.009406
14,930.432,1.10819,1.04462,1.31016,0.8134,0.67461,0.76769,0.56992,0.96729,0.93978,1.32866,0.0093565,0.0093565,0.0093565
15,996.948,1.11628,1.0363,1.30226,0.80693,0.70153,0.78335,0.58602,0.9798,0.9181,1.34987,0.009307,0.009307,0.009307
16,1063.45,1.10654,1.03593,1.30156,0.80139,0.7027,0.78994,0.5965,0.90982,0.8535,1.27486,0.0092575,0.0092575,0.0092575
17,1129.76,1.10403,1.02203,1.29341,0.7794,0.68475,0.76461,0.56503,0.96278,0.92525,1.31351,0.009208,0.009208,0.009208
18,1196.06,1.09207,1.00916,1.29191,0.81399,0.70031,0.79826,0.6104,0.88734,0.84215,1.2726,0.0091585,0.0091585,0.0091585
19,1262.57,1.08546,1.00228,1.2825,0.81041,0.71141,0.79391,0.60217,0.91681,0.83884,1.28234,0.009109,0.009109,0.009109
20,1328.87,1.09417,1.01634,1.29235,0.78607,0.70039,0.77567,0.58449,0.9316,0.86313,1.29317,0.0090595,0.0090595,0.0090595
21,1395.43,1.06745,0.97899,1.27455,0.81948,0.70871,0.79785,0.61571,0.87693,0.83036,1.2479,0.00901,0.00901,0.00901
22,1461.92,1.06772,0.97805,1.27774,0.79467,0.72582,0.80505,0.60936,0.88269,0.80362,1.28275,0.0089605,0.0089605,0.0089605
23,1528.47,1.05687,0.96719,1.26172,0.82293,0.70902,0.8082,0.62145,0.87502,0.80803,1.25019,0.008911,0.008911,0.008911
24,1595.01,1.05982,0.97469,1.27317,0.81355,0.7091,0.80439,0.62256,0.86286,0.80763,1.23766,0.0088615,0.0088615,0.0088615
25,1661.54,1.05306,0.96113,1.26336,0.81429,0.6995,0.79455,0.60637,0.90282,0.81734,1.26887,0.008812,0.008812,0.008812
26,1727.85,1.03672,0.94251,1.25583,0.82076,0.70661,0.80389,0.6211,0.86553,0.80143,1.24612,0.0087625,0.0087625,0.0087625
27,1794.04,1.04485,0.95208,1.25961,0.82876,0.70484,0.80744,0.62287,0.87915,0.77969,1.24271,0.008713,0.008713,0.008713
28,1860.34,1.04449,0.94233,1.25598,0.82177,0.70875,0.8039,0.62248,0.85412,0.78945,1.24072,0.0086635,0.0086635,0.0086635
29,1926.39,1.04849,0.94975,1.26199,0.79392,0.71835,0.79363,0.61887,0.84663,0.79451,1.22973,0.008614,0.008614,0.008614
30,1992.24,1.03475,0.92605,1.24985,0.81143,0.73453,0.81669,0.63367,0.83991,0.76427,1.21754,0.0085645,0.0085645,0.0085645
31,2058.5,1.02768,0.92225,1.24736,0.80809,0.72025,0.80676,0.62834,0.84138,0.77775,1.21752,0.008515,0.008515,0.008515
32,2124.72,1.02841,0.92744,1.24537,0.82541,0.71871,0.81515,0.64149,0.82461,0.76093,1.22765,0.0084655,0.0084655,0.0084655
33,2191.16,1.01929,0.92374,1.24204,0.82062,0.72068,0.81308,0.62875,0.86042,0.77699,1.22323,0.008416,0.008416,0.008416
