normal run real,12.22,11.98,12.14,11.91,12.21,12.61,12.19,12.37,12.44,12.25,avg,12.232
normal run user,11.06,11.48,11.71,11.27,11.88,12.31,11.87,12.08,12.14,11.93,avg,11.773
normal run sys,1.12,0.45,0.37,0.59,0.28,0.27,0.29,0.26,0.27,0.29,avg,0.41899999999999993
pin run prof time 1 real,16.59,16.67,16.45,16.8,16.36,16.62,16.32,16.76,16.69,16.19,avg,16.544999999999998
pin run prof time 1 user,16.22,16.38,16.16,16.47,16.05,16.3,15.29,14.67,15.45,13.82,avg,15.680999999999997
pin run prof time 1 sys,0.77,0.68,0.66,0.69,0.68,0.68,1.39,2.47,1.62,2.75,avg,1.239
pin run prof time 1 create tc,3.34,3.25,3.24,3.21,3.22,3.21,3.27,3.29,3.15,3.28,avg,3.2459999999999996
pin run prof time 2 real,16.96,17.1,17.54,16.95,17.39,16.91,17.02,17.09,17.29,17.15,avg,17.139999999999997
pin run prof time 2 user,16.89,16.86,17.22,12.86,17.32,13.15,16.69,16.87,14.45,15.23,avg,15.754
pin run prof time 2 sys,0.44,0.6,0.68,4.46,0.44,3.72,0.7,0.57,3.21,2.31,avg,1.7129999999999999
pin run prof time 2 create tc,3.17,3.15,3.24,3.13,3.24,3.13,3.27,3.18,3.24,3.14,avg,3.189
pin run prof time 3 real,17.59,17.88,17.67,17.49,18.11,17.81,17.92,17.88,18.04,18.18,avg,17.857
pin run prof time 3 user,15.07,17.06,17.01,16.35,15.05,15.75,17.57,17.55,17.55,17.78,avg,16.674000000000003
pin run prof time 3 sys,2.9,1.19,1.04,1.48,3.0,2.42,0.77,0.73,0.88,0.8,avg,1.5210000000000001
pin run prof time 3 create tc,3.16,3.16,3.24,3.32,3.15,3.16,3.14,3.23,3.35,3.29,avg,3.22
pin run prof time 4 real,18.49,18.13,18.05,18.55,18.48,18.44,18.33,17.81,17.87,18.29,avg,18.244
pin run prof time 4 user,18.17,17.71,17.74,18.22,18.21,18.05,18.09,13.19,15.28,18.15,avg,17.281000000000002
pin run prof time 4 sys,0.7,0.78,0.68,0.71,0.65,0.75,0.66,4.98,2.95,0.48,avg,1.334
pin run prof time 4 create tc,3.26,3.21,3.21,3.37,3.3,3.3,3.27,3.16,3.16,3.17,avg,3.2410000000000005
pin run prof time 5 real,18.36,18.37,18.41,18.35,18.7,18.27,18.83,18.75,18.47,18.43,avg,18.494000000000003
pin run prof time 5 user,18.0,18.02,18.12,18.08,18.41,18.0,18.58,18.47,18.17,18.13,avg,18.198
pin run prof time 5 sys,0.72,0.72,0.64,0.63,0.68,0.65,0.64,0.66,0.66,0.7,avg,0.67
pin run prof time 5 create tc,3.19,3.25,3.18,3.21,3.23,3.21,3.32,3.27,3.25,3.23,avg,3.2339999999999995
pin run prof time 6 real,19.26,19.12,19.07,19.09,19.43,19.28,19.52,18.95,19.54,19.04,avg,19.229999999999997
pin run prof time 6 user,19.0,18.86,18.75,18.81,19.13,18.65,17.79,18.36,16.37,18.67,avg,18.439
pin run prof time 6 sys,0.65,0.62,0.71,0.65,0.65,0.98,2.11,0.95,3.11,0.72,avg,1.115
pin run prof time 6 create tc,3.25,3.25,3.29,3.27,3.34,3.27,3.19,3.37,3.16,3.18,avg,3.257
