normal run real,12.25,11.66,11.78,11.8,11.62,12.06,12.18,12.29,12.33,12.1,avg,12.006999999999998
normal run user,10.75,9.68,10.89,10.83,10.6,11.72,11.89,11.96,12.04,11.8,avg,11.215999999999998
normal run sys,1.46,1.95,0.85,0.94,0.99,0.28,0.26,0.29,0.26,0.27,avg,0.7549999999999999
pin run prof time 1 real,16.7,16.58,16.66,16.68,16.36,16.87,16.63,16.93,16.57,16.51,avg,16.648999999999997
pin run prof time 1 user,16.32,14.33,16.39,16.32,16.15,16.5,16.35,16.65,16.16,16.23,avg,16.139999999999997
pin run prof time 1 sys,0.76,2.61,0.64,0.72,0.57,0.72,0.65,0.67,0.77,0.66,avg,0.877
pin run prof time 1 create tc,3.38,3.2,3.3,3.26,3.3,3.28,3.23,3.27,3.25,3.21,avg,3.268
pin run prof time 2 real,17.28,17.16,17.34,16.94,17.22,16.73,17.12,16.76,16.99,17.5,avg,17.104000000000003
pin run prof time 2 user,16.97,16.83,17.07,16.47,16.96,16.45,16.78,15.62,14.61,17.23,avg,16.499
pin run prof time 2 sys,0.69,0.69,0.66,0.82,0.64,0.66,0.7,1.51,2.74,0.61,avg,0.9719999999999999
pin run prof time 2 create tc,3.24,3.35,3.2,3.29,3.24,3.18,3.2,3.15,3.14,3.17,avg,3.2159999999999997
pin run prof time 3 real,17.74,18.41,17.9,17.7,17.75,17.56,17.72,17.85,17.8,17.71,avg,17.814
pin run prof time 3 user,15.31,15.65,17.63,16.66,15.97,14.48,15.38,17.64,16.0,15.17,avg,15.988999999999999
pin run prof time 3 sys,2.85,2.72,0.6,1.39,2.15,3.44,2.71,0.57,2.19,2.5,avg,2.112
pin run prof time 3 create tc,3.3,3.17,3.19,3.3,3.19,3.28,3.16,3.14,3.18,3.17,avg,3.2080000000000006
pin run prof time 4 real,18.06,17.97,17.88,18.15,18.16,17.98,17.77,17.75,18.1,17.95,avg,17.976999999999997
pin run prof time 4 user,17.56,15.38,17.07,15.91,16.94,17.69,15.31,14.97,17.92,16.08,avg,16.482999999999997
pin run prof time 4 sys,0.85,2.94,1.15,2.62,1.59,0.64,2.83,3.15,0.53,2.24,avg,1.8539999999999999
pin run prof time 4 create tc,3.27,3.16,3.12,3.13,3.11,3.24,3.15,3.16,3.14,3.17,avg,3.165
pin run prof time 5 real,18.43,18.91,18.2,18.49,18.53,18.13,18.58,18.53,18.53,18.44,avg,18.476999999999997
pin run prof time 5 user,17.77,18.64,15.48,18.23,17.54,16.59,17.33,18.06,16.08,16.33,avg,17.204999999999995
pin run prof time 5 sys,0.99,0.63,3.06,0.62,1.34,1.92,1.58,0.8,2.8,2.47,avg,1.6209999999999998
pin run prof time 5 create tc,3.27,3.28,3.14,3.19,3.16,3.2,3.18,3.16,3.31,3.15,avg,3.2039999999999997
pin run prof time 6 real,19.15,19.35,19.58,18.99,19.52,18.96,19.5,19.36,18.89,18.8,avg,19.209999999999997
pin run prof time 6 user,18.9,15.95,16.67,16.58,18.59,16.56,19.35,17.29,16.75,15.86,avg,17.25
pin run prof time 6 sys,0.59,3.34,3.28,2.8,1.32,2.76,0.51,2.45,2.5,3.32,avg,2.287
pin run prof time 6 create tc,3.22,3.16,3.15,3.13,3.13,3.17,3.26,3.15,3.17,3.28,avg,3.182
